"num","Sujeto","CIF","OBS","Razon","GWh_15","pp_ventas","Obli_ahoGWh","IEEoa_17_EUR","Ajus_16","IEEoa_17_ajus16_EUR"
"1","pp","B55249858",2.3,"2001 INTERMEDIACIÓN PETRÓLEO GIRONA, S.L.",0,0,0,0,NA,0
"2","pp","A91504464",NA,"ABENGOA BIOENERGÍA  SAN ROQUE, S.A.",0,0,0,0,0,0
"3","ee","B87177408",1,"ABOUT WHITE, S.L.",0.0295,4e-06,0.000115,7.79,0,7.79
"4","ee","B93358513",1,"ACCIÓN ENERGÍA COMERCIALIZADORA, S.L.",0.0516,7e-06,0.000201,13.63,0,13.63
"5","ee","B31737422",NA,"ACCIONA GREEN ENERGY DEVELOPMENTS, S.L.",3678.806046,0.473436,14.304454,971509.62,1364.12,972873.74
"6","ee","B25794207",1,"ADEINNOVA ENERGÍA, S.L.U.",6.034001,0.000777,0.023462,1593.48,0,1593.48
"7","ee+g","B26500231",NA,"ADELFAS ENERGIA, S.L.",6.472,0.000833,0.025165,1709.14,0.84,1709.99
"8","ee","B25687401",1,"A-DOS ENERGÍA, S.L.",11.80474,0.001519,0.045901,3117.43,0,3117.43
"9","ee+g","B66162421",NA,"ADS ENERGY 8,0, S.L.",40.59084,0.005224,0.157831,10719.35,2.12,10721.47
"10","pp","B01525310",1,"ADS OPERADOR PETROLÍFERO,  S.L.",0,0,0,0,0,0
"11","ee","B09378720",NA,"ADURIZ ENERGÍA, S.L.U.",14.7091,0.001893,0.057194,3884.42,5.77,3890.19
"12","pp","A76062967",NA,"AEGEAN BUNKERING COMBUSTIBLES  LAS PALMAS S.A.",0,0,0,0,0,0
"13","ee+g","A62943600",NA,"AGENTE DEL MERCADO ELÉCTRICO, S.A.",252.819,0.032536,0.983047,66765.16,32.07,66797.23
"14","ee","A17000837",NA,"AGRI-ENERGÍA,  S.A.",91.51,0.011777,0.355822,24166.22,32.05,24198.27
"15","ee","A22194856",NA,"AGUAS DE BARBASTRO  ELECTRICIDAD,  S.A.",0,0,0,0,0,0
"16","ee","B22350466",NA,"AGUAS DE BARBASTRO  ENERGÍA, S.L.",146.8,0.018892,0.570809,38767.36,57.09,38824.46
"17","ee","B66024464",NA,"AHORRO ENERGIA HOGAR INVESTMENTS, S.L.",16.9,0.002175,0.065713,4463,1.13,4464.13
"18","ee","B98373269",NA,"ALCANZIA ENERGIA, S.L.",451.307,0.05808,1.754836,119182.44,59.23,119241.67
"19","ee","B86787900",NA,"ALDEFE COMERCIALIZADORA DE ENERGÍA, S.L.U.",7.165,0.000922,0.02786,1892.15,0.47,1892.63
